,Name,Street,Category,Price Tags,Average Rating,Review,Date,Rating
0,THE FARMHOUSE TAP & GRILL ,Bank St,"burgers,restaurants,tradamerica",2,4.0 ,"Julie and I have had another wonderful experience at the farmhouse! Cole and michelle make us feel like Family. we laugh and laugh and it feels great. BTW, the lobster risotto with a touch of tarragon was incredible. It was so enjoyable Julie ordered another risotto to go! The vibe in the Farmhouse is intimate and upbeat at the same time. We love it there. Five stars. <br&gt;<br&gt;Joe P",2/16/2023,5
1,THE FARMHOUSE TAP & GRILL ,Bank St,"burgers,restaurants,tradamerica",2,4.0 ,"Michelle and Cole made us feel like royalty. great ambience, especially great food, service, personal attention, flexibility and vibe. plus humor!!! what fun. highly recommended to everyone.",1/9/2023,5
2,THE FARMHOUSE TAP & GRILL ,Bank St,"burgers,restaurants,tradamerica",2,4.0 ,"Nice restaurant in Vermont that serves food sourced locally. After attending a wedding, a group of friends and I came here for brunch. It was very enjoyable for all of us. The house bennies come highly recommended from me!<br&gt;<br&gt;My recommendation is to make a reservation in advance at this restaurant because it is really busy.",1/26/2023,5
3,THE FARMHOUSE TAP & GRILL ,Bank St,"burgers,restaurants,tradamerica",2,4.0 ,"Another great meal at The Farmhouse Tap and Grill. For the second time we came in right before hopping on a flight home. <br&gt;<br&gt;Husband had a burger. He said the burger itself was ok, but the accoutrements were very good. My son was dying for some soup and enjoyed his first ever bowl of cheddar soup! I wasn&amp;#39;t very hungry so opted for the Mac and cheese. It was good, but needed to be more seasoned.<br&gt;<br&gt;Service was great. The restaurant itself is very nice and well decorated. <br&gt;<br&gt;Hoping to stop in again when in the area and be able to have a nice leisurely meal!",3/3/2023,4
4,THE FARMHOUSE TAP & GRILL ,Bank St,"burgers,restaurants,tradamerica",2,4.0 ,"My husband and I had a short period of time last weekend to grab some dinner before heading to the airport. When we arrived the wait was about 30-45min but there were some seats at the bar so we quickly grabbed two seats.<br&gt;<br&gt;Our lovely bar tender took our drink order. I asked for lemonade but that wasn&amp;#39;t an option so the bartender gave me a taste of a maple soda of sorts. Wish I could remember the name, it was so good I ordered one. Husband had some crazy on top beer that was quite tart but good.<br&gt;<br&gt;Husband ordered the LaPlatte River Angus burger and I had the fish and chips. When we told our bartender we were short on time and had to catch a flight she got our food out quickly and it was nice and hot!  She was also attentive and engaged us in conversation which was nice. She made the meal and took this review from a 4 to 5 star!",10/22/2022,5
5,THE FARMHOUSE TAP & GRILL ,Bank St,"burgers,restaurants,tradamerica",2,4.0 ,"Had dinner at The Farmhouse Tap &amp;amp; Grill on Friday night. It was a fine option and I appreciated that they were open late, but nothing on the menu would bring me back.<br&gt;<br&gt;Quality: We arrived late to town and were among the last folks seated. They have an extensive craft beer selection, which was one of the biggest draws. However, I was not really crazy about any of the food. The Cheddar Ale Soup was bland and needed more than just three croutons. The Crispy Onion Rings were okay for a side, the horseradish aioli was a nice touch. Adams&amp;#39; Farm Chicken &amp;amp; Biscuits was a fairly mediocre dish. The biscuits were a bit dry and despite looking beautiful, the chicken was overdone. <br&gt;Quantity: Decent sized dishes.<br&gt;Value: $8 for the Cheddar Ale Soup. $8 for the Crispy Onion Rings. $28 for the Adams&amp;#39; Farm Chicken &amp;amp; Biscuits.<br&gt;Ambiance: The Farmhouse Tap &amp;amp; Grill is located along the main stretch in Burlington. It is a very large restaurant, with a huge outdoor patio and an even bigger indoor area. It was a beautiful night so no heaters needed, but they seemed prepared for the cold to arrive any minute. The music inside was recent pop songs played at full blast, which led to everyone inside raising the volume even more.<br&gt;Crowd: As one of the few restaurants that stays open late, it was busy on Friday night.<br&gt;Service: Fast and friendly.<br&gt;Parking: Plenty of nearby parking.",11/1/2022,3
6,THE FARMHOUSE TAP & GRILL ,Bank St,"burgers,restaurants,tradamerica",2,4.0 ,"Came here because of the reviews <br&gt;<br&gt;And thank goodness we did! Waitstaff was so kind, attentive and quick to get orders in and out. We felt valued and kudos to the manager for having such a great team <br&gt;<br&gt;Appetizers: <br&gt;- cheddar ale soup: super cheesy and so dang good. I didn&amp;#39;t want to share a single bite. <br&gt;<br&gt;- maple cornbread: the butter sets it over the top. Carmedized bottom and amazing consistency throughout <br&gt;<br&gt;Food: <br&gt;- husband had the fish and chips and said it was BOMB! Crispy on the outside and full of flavor. Tons of fries to eat too. <br&gt;<br&gt;- I had the blue cheese toast. The honey drizzled on top and the jam under it really put the the funkiness of the blue cheese down a little (in the best way) the flavors worked so well together. I would order again <br&gt;<br&gt;Dessert: <br&gt;- shaved ice with maple syrup: such a fun dessert to go and the cute spoons made it even better. Fun, light, fresh and cold. <br&gt;<br&gt;If we ever come back to Burlington- we will be coming back here! Thank you for an amazing experience",9/19/2022,5
7,THE FARMHOUSE TAP & GRILL ,Bank St,"burgers,restaurants,tradamerica",2,4.0 ,"GreaT place! First time in Vermont and this was our first stop. We had the onion rings (ask for extra sauce), Turkey burger, regular burger, and side salad. Very delicious and salad was AMAZING",3/2/2023,5
8,THE FARMHOUSE TAP & GRILL ,Bank St,"burgers,restaurants,tradamerica",2,4.0 ,"Do yourself a favor and go try this place, you will not be disappointed. We were in the area and looking for somewhere good to eat. This place was highly rated so figured it must be good and we&amp;#39;d give it a try. Excellent food!!! We got here around 10:45am we had the brunch and lunch menu and decided to both order brunch I got the eggs Benedict, amazing I have never had kale with this dish and it was really good. The salad that it came with so good, I absolutely loved the dressing and I ended up eating the rest of my husbands salad he didn&amp;#39;t finish. The homemade Hash brown cakes perfectly crispy on the outside and like mashed potatoes on the inside. My husband got the breakfast plate and loved it he said the eggs were probably too be best eggs he&amp;#39;s ever had. We got my little one fries and a side of bacon, the fries were great and I loved their sauces! They have a great drink menu, beer, wine, cocktails, and non alcoholic which was amazing because my husband doesn&amp;#39;t drink but likes to have something besides the normal soda and he loved the sparking apple cider they have here in a can. Also can&amp;#39;t forget to mention good service as well.",2/5/2023,5
9,THE FARMHOUSE TAP & GRILL ,Bank St,"burgers,restaurants,tradamerica",2,4.0 ,good food and awesome staff sit at the bar you will not be disappointed. George was at the bar was very nice and super friendly gave us a bunch of recommendations  for our short trip to Vermont. Great beer selection too.,3/19/2023,5
10,THE FARMHOUSE TAP & GRILL ,Bank St,"burgers,restaurants,tradamerica",2,4.0 ,Juicy meals! The cheddar soup was the best thing I have ever eaten. Yummy like a mummy.,3/31/2023,5
11,THE FARMHOUSE TAP & GRILL ,Bank St,"burgers,restaurants,tradamerica",2,4.0 ,"I had an amazing dining experience here, and would definitely recommend it to anyone visiting Vermont. I would advise coming an hour or so early to put your name on the waiting list, as they don&amp;#39;t take reservations of less than seven, and the line can become rather long. <br&gt;<br&gt;When we were able to be seated, we sat in a cozy outside area, that felt tucked away from the busyness of the main restaurant room. Our server, Connor, was very friendly and helpful and was able to offer good recommendations. <br&gt;<br&gt;I ordered the cast-seared salmon, which was absolutely wonderful, in taste and presentation in my opinion. The others members of were happy with their meals of the tamarack farm lamb burger and the adam&amp;#39;s farm chicken and biscuits. For dessert we shared their apple pie crumble with vanilla ice cream, and the strawberry shake, which unfortunately is not pictured below. <br&gt;<br&gt;Would love to come back and try more soon!",10/8/2022,5
12,THE FARMHOUSE TAP & GRILL ,Bank St,"burgers,restaurants,tradamerica",2,4.0 ,"Lovely spot, great food and drink. Service was incredibly attentive. Ambiance left nothing to be desired, all around lovely spot to grab dinner at if you are in Burlington.",2/3/2023,5
13,THE FARMHOUSE TAP & GRILL ,Bank St,"burgers,restaurants,tradamerica",2,4.0 ,I came in here on a Sunday evening. There was a bit of a wait but the bar and beer garden had open seating. There is a more limited menu for the beer garden. I opted for the pork burger that came with a sunny side up egg. The burger was delicious and the fries were great as well.,7/18/2022,4
14,THE FARMHOUSE TAP & GRILL ,Bank St,"burgers,restaurants,tradamerica",2,4.0 ,Great food &amp;amp; great service!  Came to Vermont to visit our daughter who is a student at UVM and we had lunch at The Farmhouse and had a wonderful meal!,3/6/2023,5
15,THE FARMHOUSE TAP & GRILL ,Bank St,"burgers,restaurants,tradamerica",2,4.0 ,"We stopped in for Sunday brunch after a nearby place had a long wait, this is apparently a theme for me. There was no wait, we all got breakfast food (Veggie Benedict, Breakfast Plate, Challah French Toast), and we were all very happy with it. Looking at my previous review, I don&amp;#39;t think I quite did this place justice, hence the update. Definitely looking forward to coming back again!",2/12/2023,5
