,Name,Street,Category,Price Tags,Average Rating,Review,Date,Rating
0,SUSHI MAEDA ,"Cherry St, Bur","japanese,restaurants,sush",ul,3.5 ,"The Sushi is definitely quality however, wait times for the food are very long. The prices for the sushi is comparable with a NYC Omakase restaurant which is not okay. Good sushi does not mean that you can charge Omakase prices and this was definitely not Omakase. I spent around 250$ and was literally still hungry after eating. Despite the prices though the food was good.",2/18/2023,4
1,SUSHI MAEDA ,"Cherry St, Bur","japanese,restaurants,sush",ul,3.5 ,"This place was delicious. Service was great. The menu is pure, not a lot of fried this, mayo that. Absolutely delicious. So happy to have found it.<br&gt;<br&gt;Honestly, the 1 and 2 star reviews below are everything that&amp;#39;s wrong with Yelp. 1 star because you got a ticket for double parking when you came to pickup? Those reviews are thoughtless, selfish and worthless.<br&gt;<br&gt;This place is great if you&amp;#39;re looking for good sushi in Burlington. Will definitely be back!",8/31/2022,5
2,SUSHI MAEDA ,"Cherry St, Bur","japanese,restaurants,sush",ul,3.5 ,This place is legit. Fantastic Japanese food. Sure the service can sometimes be slow by American standards but that is not how sushi is meant to be.  And it is a testament to devotion to quality confounded by the lack of service industry workers. Quality takes time and love. Get some appetizers. Some sake and craft cocktails. Put away your phone and enjoy the food. <br&gt;<br&gt;Mike-san is an artist. Highly recommend the chef special sushi sampler. No soy sauce please. Would you deface the Mona Lisa with crayons? I think not.,7/20/2022,5
3,SUSHI MAEDA ,"Cherry St, Bur","japanese,restaurants,sush",ul,3.5 ,"Totemo oishii desu. @sushimaeda. Finally. The Japanese food I needed. Sushi. Robata. And a rotating menu of authentic, delicious dishes. Thank you for yet another wonderful meal.  I feel transported back to my sushi family in Los Angeles #masasan. @yojitajima @yojisan.sushi @uzen_lasushi. U-Zen Sushi Restaurant Yoji Tajima Yojisan",6/6/2022,5
4,SUSHI MAEDA ,"Cherry St, Bur","japanese,restaurants,sush",ul,3.5 ,Food was slow to get to the table even though the place wasn&amp;#39;t busy. <br&gt;Everyone agreed the food was WAYYY too salty; felt like they stripped half an ocean&amp;#39;s worth of minerals onto our bowls/plates. Not worth the time or price.,9/27/2022,1
5,SUSHI MAEDA ,"Cherry St, Bur","japanese,restaurants,sush",ul,3.5 ,Amazing and fresh sushi. Service was excellent!  If you want real sushi with fresh fish then go here.,1/24/2023,5
6,SUSHI MAEDA ,"Cherry St, Bur","japanese,restaurants,sush",ul,3.5 ,"Was hoping for something special, but can&amp;#39;t say I found it.<br&gt;Space is huge and spare with less than 1/4 containing tables.  No big deal, but odd.<br&gt;Miso soup:  for me it wasn&amp;#39;t hot enough, (temperature.)  My wife thought it was OK.<br&gt;Seaweed and burdock salads:  very tasty but pretty standard fare.  <br&gt;Sushi:  Rice is KEY to sushi, and in this case it felt like some unfortunate necessity.  i ordered the chef&amp;#39;s choice assortment.  The fish was huge relative to rice.  Some might appreciate this.  They should order sashimi.  The bites were too big and not balanced.    Hard to tell for sure, because fish was so dominant, but i thought rice could have been seasoned more.<br&gt;Owners of this place had Sansai restaurant years back where they offered really excellent and uncommon sushi - hamachi with plum paste and mint for instance - really good.  Was hoping something like this would appear in my assortment.  It didn&amp;#39;t.  Fish all tasted fresh.  Nothing was terrible but nothing was great.  Best piece was mackerel.<br&gt;Waitress was nice, and thankful the obnoxious bartender was absent.  Yes, I know who others have referred to.<br&gt;I hope it gets better, but not holding my breath.",1/20/2023,3
7,SUSHI MAEDA ,"Cherry St, Bur","japanese,restaurants,sush",ul,3.5 ,We have been twice and enjoyed our meals both times. The seaweed salad is a nice appetizer. The fish for the sushi is the freshest in Burlington. I had the Chef&amp;#39;s Sushi Assortment both times. Friends we are with really liked the Don Buri.  The waiters were so pleasant and helpful. <br&gt;<br&gt;We also had mochi for dessert and the black sesame was delicious. So glad to have them just off Church Street.,12/27/2021,5
8,SUSHI MAEDA ,"Cherry St, Bur","japanese,restaurants,sush",ul,3.5 ,"I was in town to go to Nectars and found this new sushi place with good reviews. We get there and the waitstaff didn&amp;#39;t want to give us a menu and told us the food wouldn&amp;#39;t come any quicker.  The young lady who helped us really tried to provide good service. The food was fresh but it took forever to get to us and the presentation was lacking. I wish this restaurant luck, they are trying and need to do better.",2/13/2022,2
9,SUSHI MAEDA ,"Cherry St, Bur","japanese,restaurants,sush",ul,3.5 ,Staff was very helpful in Recommending dishes and they created a great dining experience. The bartender was phenomenal and a great communicator he made the experience a five stars night. The sushi was fresh and flavorful. It was a place that I would go back to and recommend to anyone.,1/23/2022,5
10,SUSHI MAEDA ,"Cherry St, Bur","japanese,restaurants,sush",ul,3.5 ,"To be fair, the food was okay. The experience? not so much. I called and ordered dinner for my family right before I left Williston. Over $130 worth of food for me and kids. I was quoted 30 minutes lead time. When I arrived 30 minutes later on the dot, the order was not ready. Sure not a big deal, right? Well, it actually took over another hour to get my order! I was pretty close to cancelling it a few times. But kids had their hopes up for sushi. So I sucked it up and waited. When I got home, a lot of the items I ordered were missing from the bag. Ugh! I called the restaurant and they confirmed that the order was not complete, and that they had tried to call me back. To their credit my phone does have a record of that incoming call when I was driving. So I went back to get the rest of the food. Had to double park on Cherry Street this time. To my shock, the food was not ready! I tried to keep an eye on my car, but it got ticketed while I waited for a good 15 minutes. Granted it was my fault to double park. When I complained to Nick the manager, he agreed to pay for the ticket. To be honest, if he didn&amp;#39;t agree, I would have returned the food. Fast forward to 2 months later, I received a notification of the unpaid parking ticket in the mail, along with a fine on top of the original amount. I called the restaurant and spoke to Nick. He remembered the incident right away, however he insisted that the restaurant could not be responsible for my double parking. You would think Nick could have at least called me to let me know that before I incurred the fine. I don&amp;#39;t need to eat there ever again. Terrible service and manager&amp;#39;s words and integrity are worth less than $88.",8/11/2022,1
11,THE MOUNTED CAT ,"Battery St, Bur","desserts,food,lounges,newamerican,nightlife,restaurant",2,2.5 ,"Pricey hotel food, but no major complaints. We had a nice breakfast buffet ($22) on Thanksgiving morning. We probably would have gone somewhere else but weren&amp;#39;t sure what else would be open.<br&gt;<br&gt;Overall reliable but pricey spot to get some food.",11/24/2016,3
12,THE MOUNTED CAT ,"Battery St, Bur","desserts,food,lounges,newamerican,nightlife,restaurant",2,2.5 ,"I&amp;#39;ve never felt so strongly that I wish I could give zero stars.<br&gt;<br&gt;Where do I start? I specifically asked the server (who had to be tracked down) whether an advertised promotion was available and was told that he would check. He never answered and then overcharged us terribly.<br&gt;<br&gt;Our food was inedible. When I explained that the chicken seemed undercooked the server argued, &amp;#34;that&amp;#39;s how it comes.&amp;#34;<br&gt;<br&gt;I am still trying to get a refund, two weeks later, because 1) no one can be reached and 2) when I&amp;#39;ve actually managed to get ahold of someone, they&amp;#39;ve blatantly lied and said that they called and / or emailed me! <br&gt;<br&gt;Unbelievable!",2/18/2022,1
13,THE MOUNTED CAT ,"Battery St, Bur","desserts,food,lounges,newamerican,nightlife,restaurant",2,2.5 ,"This had to be one of the worst breakfast experiences I have ever had! <br&gt;<br&gt;This restaurant is inside the Hilton Burlington.  For breakfast you could choose the buffet for $18 which included made to order omelets or any eggs and pancakes. Or you could get a la carte and it would be the same price so we opted for the buffet. <br&gt;<br&gt;First, the service is horrendous!  Servers everywhere but no service. Made to order omelets took 45 minutes to come out of the kitchen and they all came out at different times. The buffet was cleared out and we were there at 8 am!  Nothing was restocked and what was left were rubbery scrambled eggs and cold potatoes and a couple hunks of cheese. When we inquires when the buffet would be restocked we were ignored. <br&gt;<br&gt;Seriously not worth the money!",7/2/2017,1
14,THE MOUNTED CAT ,"Battery St, Bur","desserts,food,lounges,newamerican,nightlife,restaurant",2,2.5 ,"Convenient because I was staying in the hotel, but wouldn&amp;#39;t go to the restaurant unless staying in the hotel. It did its job and fed me good food, but it is overpriced (as to be expected from a hotel restaurant). Had a nice waiter but the food came out pretty slowly for being the only table dining.",5/26/2017,3
15,THE MOUNTED CAT ,"Battery St, Bur","desserts,food,lounges,newamerican,nightlife,restaurant",2,2.5 ,"This is a hotel restaurant, so the bar is pretty low. My husband and I got burgers which were passable. My kids ordered mac and cheese from the kids menu. I realize that many low end restaurants serve Mac and cheese from a box- but could they at least get one with a pasta shape that doesn&amp;#39;t scream &amp;#34;Kraft&amp;#34;? I suppose our meal was as expected, but the service was especially slow. There was only a bartender, no waitstaff, despite about a half dozen people at the bar and another dozen on the patio.",6/25/2018,2
16,THE MOUNTED CAT ,"Battery St, Bur","desserts,food,lounges,newamerican,nightlife,restaurant",2,2.5 ,Maybe this place is better than this on a regular basis but tonight it was not good. All I ordered was wings and a dessert and it took 30 mins to get and people who got seated after us got their meal 10 mins before us. When we were finished I could not find the server to pay for 20 mins. Maybe next time I will sit at the bar and see if the service any different. Food was decent and wings had a good kick but the service ruined it for me.,4/1/2016,1
17,THE MOUNTED CAT ,"Battery St, Bur","desserts,food,lounges,newamerican,nightlife,restaurant",2,2.5 ,"The prices are a bit high for their American cuisine. The Poutine was great, my burger was pretty good too. My boyfriend&amp;#39;s beef tenderloin dinner wasn&amp;#39;t worth the $38. The service was decent. This was a convenient option since we were staying in the hotel and didn&amp;#39;t know where to eat that night. The room service for the hotel is the same menu as the mounted cat, but more expensive.",11/12/2016,3
18,THE MOUNTED CAT ,"Battery St, Bur","desserts,food,lounges,newamerican,nightlife,restaurant",2,2.5 ,"This place is awesome! You have to try the hanger steak skewers, the sliders and pulled pork from the bar menu. Also loved the strawberry basil smash cocktail - and of course it doesn&amp;#39;t hurt that they carry Heady Topper and Focal Banger (both not on the menu). Grab a drink and some bar snacks and enjoy the outdoor fire pit!",7/4/2015,5
19,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"Friendly neighborhood cafe. In addition to their standard fare, there is an exotic breakfast special... I occasionally fall for this even if I&amp;#39;m not hungry.Breakfast BurritoBreakfast Burrito",1/3/2023,5
20,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,Great neighborhood bakery! They have delicious items sweet and savory to choose from. I definitely recommend.,8/15/2022,5
21,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"Yea, it&amp;#39;s nice that it&amp;#39;s a baker in the ONE, however, I never went back after they yelled at my six-year-old for getting honey on the honey bear they had out. It was seriously totally out of line.  Usually seemed put out to have to be waiting on people as well (even when I didn&amp;#39;t have a kid with me).   Not fun and not that good. Avoid.",10/18/2021,1
22,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"The last photo in 2018 showed hair in the food...not surprised by the way the staff were dressed and hair not covered or hair nets. This place was so old, run down, dirty, and over gross, that I refused to eat there. Had not been in the Burlington area in 25 years and I was SHOCKED at how run down everything is.",11/3/2021,1
23,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"I enjoyed this place. Visited here during COVID, they weren&amp;#39;t doing in building service but it was good nonetheless. Great strawberry muffin I think.",8/17/2021,5
24,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,9;how many times do we have to tell people&amp;#39; regarding lunch and laughing at my sister-in-law which leads me to expect they did something to her food. My breakfast sandwich was great though so rating 3 stars for that. Thank you.,5/27/2018,3
25,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"I&amp;#39;m well on my way to trying everything (egg sandwich, biscuits, pastries and baked treats) and it&amp;#39;s all amazing. With COVID, there&amp;#39;s a daily menu on the door with a big selection and you can order from the sidewalk. 5 stars all around!!",7/22/2020,5
26,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"Didn&amp;#39;t have breakfast here, just a couple of bakery items. It is sort of like a scene out of Portlandia. Victorian painted interior, moody waitstaff, and minimalist co-op atmosphere. <br&gt;<br&gt;They seem to have a large breakfast menu with hipster ingredients like kale. <br&gt;<br&gt;We ordered an oatmeal cookie and a chocolate covered donut. The cookie was ok. The donut tasted like vegetable oil and the texture of the donut was chewy. I don&amp;#39;t know if it was gluten free or what. Not good. Reminded me why I stopped pretending that I have Celiac&amp;#39;s disease.",7/26/2015,2
27,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"I love this little gem in the ONE. I frequent this spot for breakfast and occasionally lunch. It&amp;#39;s got a great relaxed vibe, is super comfortable with delicious coffee and food. I love the Skeggs with sausage and mushrooms. Add some hot sauce (they have several to chose from) if you like a little kick!",1/5/2018,5
28,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,Really great food options and the bakery options are my favorite! Great drink cooler as well. The people are very nice. I will definitely be back,8/18/2019,5
29,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"Very disappointed with this place. Went here on a Saturday looking for the jelly-filled donuts and a good cup of coffee to get me through the work I need to do this weekend. The cashier was not friendly when I asked about the credit card minimum. (It&amp;#39;s $5--fine, I was ready to give them more.) I was holding my laptop and another employee turned to me as said that I wasn&amp;#39;t allowed to set up my laptop on the weekends. Oh, AND there were no jelly-filled donuts. I walked right back out the door--taking my business elsewhere with great customer service no BS laptop rules. Very sorry that some of us have to do computer-based work on the weekends too!! (Also, half the place was empty--no one would even have known I was there working on my laptop. Thanks to Scout &amp;amp; Co. for being far superior!!)",3/16/2019,1
30,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"My cousins live down the street from this cafe, so naturally when I visited them we came here for lunch. I had the Portobello Reuben sandwich. While I&amp;#39;m not a vegetarian, this item piqued my interest and really hit the spot. <br&gt;<br&gt;I was bummed that there aren&amp;#39;t any espresso drinks  or iced coffee available- just a &amp;#34;regular&amp;#34; and &amp;#34;decaf&amp;#34; dispenser.<br&gt;<br&gt;I found the service to be kind and quiet. She also brought our meals to our table outside, which was nice.<br&gt;<br&gt;I would come back to Nunyuns for a no-frills lunch.",10/24/2016,3
31,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"My cousins love down the street from his cafe, so naturally when I visited them we came here for lunch. I had the Portobello Reuben sandwich. While I&amp;#39;m not a vegetarian, this item piqued my interest and really hit the spot. <br&gt;<br&gt;I was bummed that there aren&amp;#39;t any espresso drinks  or iced coffee available- just a &amp;#34;regular&amp;#34; and &amp;#34;decaf&amp;#34; dispenser.<br&gt;<br&gt;I found the service to be kind and quiet. She also brought our meals to our table outside, which was nice.<br&gt;<br&gt;I would come back to Nunyuns for a no-frills lunch.",10/23/2016,3
32,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,Delicious! Stopped in on a visit to this lovely city. Had a melt in your mouth breakfast sandwich with homemade bread and local bacon. Yum!!!,8/12/2018,5
33,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"Local spot for brekky; awesome rotating specials and baked goods. They now take cards too! The owners are great people and always friendly. It&amp;#39;s first come, first serve seating and you order at the counter. Cool art on the walls and a great local spot, don&amp;#39;t ever change!",7/10/2017,5
34,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,Awesome breakfast without the long lines of other brunch places. Delicious baked goods and yummy home fries. This place is a gem!,5/27/2017,5
35,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"This place is great! Good coffee, nice people, cute outdoor seating (with a doggie bowl and loops for dog leashes; the owners come out whenever we eat there to pet our dogs and give them ice cubes if it&amp;#39;s a hot day), tasty breakfast sandwiches on fresh made biscuits, and this REALLY delicious plum upside-down cake/muffin thing that was absolutely bomb. I do wish they were open Mondays and after 3pm for when I need that afternoon coffee, but what can ya do.",8/3/2016,4
36,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,Look past the curt service and slightly confusing menu hours to find an unpolished gem in the Old North End. Cash only. No computers allowed. And no books. But reading the local paper is permitted.,7/28/2017,5
37,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,I&amp;#39;ve only been here a handful of times. Even if the quality of the food was excellent--which it is not--the person at the counter is always unpleasant. Why go somewhere where I feel unwelcome?,5/29/2016,1
38,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"Great food, great atmosphere.  Their baked goods are absolutely amazing. Keep up the good work!",3/7/2017,5
39,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,Sandwiches are amazing and donuts are maybe even better! Our go to for a quick breakfast or lunch! Best grilled cheese I&amp;#39;ve had in awhile. Whatever bread they use is to die for,3/10/2015,5
40,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"This place is the hidden gem of Burlington. I read the other negative reviews, and vehemently disagree. The waitstaff is also friendly and always play good music. Frequently a cafe-wide conversation will breakout, it&amp;#39;s always civil and friendly banter then people go back to their own worlds- a nice balance of community and solitude. The food is awesome, breakfast is tasty and the baked goods are almost addictive. My favorite is the fresh-squeezed juice. This place definitely has its own unique vibe and that makes me appreciate that much more.",1/16/2016,5
41,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"Horrible and very rude employees! I thought this was a family cafe!! I asked for a roast beef and salami sandwich and snapped at me because it wasn&amp;#39;t 12 pm yet. I walked out and glad I didn&amp;#39;t waste my money here. Matter of fact, as I was approaching the cafe I saw and heard other leaving unhappy.",5/28/2018,2
42,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"Husband had veggie breakfast burrito which was quite tasty.  Son ate French toast which was very good.  I had an egg biscuit which was rather plain.  The home fries were okay.  The service was very good. A very informal, casual atmosphere for a SundY bench.",9/1/2013,4
43,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"Aside from the fact that the breakfast burrito was nothing special and rather bland, the person who takes your order at the counter seemed unfriendly, fringing on unpleasant. While I might have returned another day to try some of the other items on the menu, given the weird vibe and &amp;#34;nothing special&amp;#34; atmosphere, I&amp;#39;ll just go somewhere else...not that I suspect they&amp;#39;d care :-)",3/22/2012,2
44,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"LOVE NUNYUNS!<br&gt;Excellent egg and cheese on homemade biscuit.  Excellent french toast, my ideal french toast actually.  Very serene spot to eat breakfast, big plate glass windows, self serve equal exchange coffee. <br&gt;<br&gt;Nunyuns is a great break from the 45 minute waits available elsewhere in Burlington/Winooski for weekend breakfasts!",6/21/2011,5
45,NUNYUNS BAKERY & CAFE ,"N Champlain St, Bur","bakeries,cafes,food,restaurant",1,4.0 ,"No frills, quality food in a casual setting without the wait and crowds of the other breakfast places further downtown. Just my speed on a weekend morning. Wish it was a little cheaper, but that&amp;#39;s all I can say bad about this place. It&amp;#39;s really an asset to the Old North End.",6/30/2014,4
